app,compose_path,status,problem_category,fixed_this_run,blank_fields,main_image,metadata_version,updateAt,source_or_evidence,notes
2FAuth,Apps/2FAuth/docker-compose.yml,ok,,,,2fauth/2fauth:5.4.3,5.4.3,2024-11-27,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
ActualBudget,Apps/ActualBudget/docker-compose.yml,fixed_this_run,outdated_image_tag,image/version/updateAt/releaseNotes 从 25.7.1 更新到 26.5.2,,actualbudget/actual-server:26.5.2,26.5.2,2026-05-08,https://github.com/actualbudget/actual/releases/tag/v26.5.2,
AdGuardHome,Apps/AdGuardHome/docker-compose.yml,ok,,,,adguard/adguardhome:v0.107.61,v0.107.61,2025-04-22,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Adminer,Apps/Adminer/docker-compose.yml,ok,,,,adminer:5.4.1,5.4.1,2025-09-26,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
AlbyHub,Apps/AlbyHub/docker-compose.yml,ok,,,,ghcr.io/getalby/hub:v1.20.0,v1.20.0,2025-09-25,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Alist,Apps/Alist/docker-compose.yml,ok,,,,xhofe/alist:v3.40.0,v3.40.0,2024-11-22,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Alist-Sync,Apps/Alist-Sync/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,xjxjin/alist-sync:1.1.5,1.1.5,2025-03-15,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Anaconda3,Apps/Anaconda3/docker-compose.yml,ok,,,,continuumio/anaconda3:2024.10-1,2024.10-1,2024-10-31,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
AnythingLLM,Apps/AnythingLLM/docker-compose.yml,ok,,,,mintplexlabs/anythingllm,latest,2024-08-19,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
ArchiveBox,Apps/ArchiveBox/docker-compose.yml,ok,,,,archivebox/archivebox:0.7.3,0.7.3,2024-12-15,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Audiobookshelf,Apps/Audiobookshelf/docker-compose.yml,ok,,,,ghcr.io/advplyr/audiobookshelf:2.30.0,2.30.0,2025-10-08,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Autobrr,Apps/Autobrr/docker-compose.yml,ok,,,,ghcr.io/autobrr/autobrr:v1.69.0,v1.69.0,2025-11-10,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Bazarr,Apps/Bazarr/docker-compose.yml,fixed_this_run,version_image_mismatch_after_upstream_merge,version/updateAt/releaseNotes 对齐主镜像 linuxserver/bazarr:1.5.6,,linuxserver/bazarr:1.5.6,1.5.6,2026-02-26,https://github.com/morpheus65535/bazarr/releases/tag/v1.5.6,
BeaverHabitTracker,Apps/BeaverHabitTracker/docker-compose.yml,ok,,,,daya0576/beaverhabits:0.7.3,0.7.3,2025-10-12,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Blinko,Apps/Blinko/docker-compose.yml,fixed_this_run,null_support_after_upstream_merge,support 从 YAML null 规范化为空字符串,support,blinkospace/blinko:1.8.7,1.8.7,2026-04-12,local structural scan,
Calibre-web,Apps/Calibre-web/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,linuxserver/calibre-web:0.6.24,0.6.24,2024-11-16,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
ChatbotUI,Apps/ChatbotUI/docker-compose.yml,ok,,,,ghcr.io/mckaywrigley/chatbot-ui:main,main,2023-07-26,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
ChatGPT-Next-Web,Apps/ChatGPT-Next-Web/docker-compose.yml,ok,,,,yidadaa/chatgpt-next-web:v2.16.1,v2.16.1,2025-07-29,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
CloudBeaver,Apps/CloudBeaver/docker-compose.yml,ok,,,,dbeaver/cloudbeaver:25.2.5,25.2.5,2025-11-12,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Cloudflared,Apps/Cloudflared/docker-compose.yml,ok,,,,wisdomsky/cloudflared-web:2025.2.1,2025.2.1,2025-05-30,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
ConvertX,Apps/ConvertX/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,c4illin/convertx:v0.14.1,v0.14.1,2025-06-04,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
CopyParty,Apps/CopyParty/docker-compose.yml,ok,,,,icewhaletech/copyparty:1.20.13,1.20.13,2026-03-23,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Crafty,Apps/Crafty/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,support,registry.gitlab.com/crafty-controller/crafty-4:4.4.11,4.4.11,2025-06-27,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Databag,Apps/Databag/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,balzack/databag:0.1.18,0.1.18,2025-11-28,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Ddns-go,Apps/Ddns-go/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,jeessy/ddns-go:v6.17.0,v6.17.0,2026-05-01,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
DDNS-Updater,Apps/DDNS-Updater/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,qmcgaw/ddns-updater:v2.9.0,v2.9.0,2024-12-24,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
DeepSeek-OCR_Nvidia,Apps/DeepSeek-OCR_Nvidia/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,icewhaletech/deepseek-ocr-frontend:v2.2.0,v2.2.0,2026-03-27,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Deluge,Apps/Deluge/docker-compose.yml,ok,,,,linuxserver/deluge:2.2.0,2.2.0,2025-04-28,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Dify,Apps/Dify/docker-compose.yml,ok,,,,langgenius/dify-web:0.12.1,0.12.1,2024-11-26,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Docmost,Apps/Docmost/docker-compose.yml,ok,,,,docmost/docmost:0.21.0,0.21.0,2025-06-18,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Downtify,Apps/Downtify/docker-compose.yml,ok,,,,ghcr.io/henriquesebastiao/downtify:2.6.0,2.6.0,2026-05-03,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
DuckDNS,Apps/DuckDNS/docker-compose.yml,ok,,,,lscr.io/linuxserver/duckdns:latest,latest,2025-03-13,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Duplicati,Apps/Duplicati/docker-compose.yml,ok,,,,linuxserver/duplicati:2.1.0,2.1.0,2025-03-06,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Emby,Apps/Emby/docker-compose.yml,fixed_this_run,outdated_image_stale_repo_wrong_release_notes_appfile_mismatch,compose image/version/updateAt/releaseNotes 更新到 linuxserver/emby:4.9.3；repo 改为 linuxserver/docker-emby；appfile image/latest_update_date 同步,,linuxserver/emby:4.9.3,4.9.3,2026-01-08,https://github.com/MediaBrowser/Emby.Releases/releases/tag/4.9.3.0,
Emby_Nvidia,Apps/Emby_Nvidia/docker-compose.yml,fixed_this_run,outdated_image_stale_repo_wrong_release_notes,compose image/version/updateAt/releaseNotes 更新到 linuxserver/emby:4.9.3；repo 改为 linuxserver/docker-emby,,linuxserver/emby:4.9.3,4.9.3,2026-01-08,https://github.com/linuxserver/docker-emby/releases/tag/4.9.3.0-ls279,
Embystat,Apps/Embystat/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,linuxserver/embystat:0.2.0,0.2.0,2023-11-27,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
EmulatorJS,Apps/EmulatorJS/docker-compose.yml,ok,,,,linuxserver/emulatorjs:1.9.2,1.9.2,2024-09-12,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
ESPHome,Apps/ESPHome/docker-compose.yml,ok,,,,ghcr.io/esphome/esphome:2025.11.0,2025.11.0,2025-11-19,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Excalidraw,Apps/Excalidraw/docker-compose.yml,ok,,,,excalidraw/excalidraw:latest,latest,2025-08-06,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Filedrop,Apps/Filedrop/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,"website,repo,support,docs",noecl/filedrop:1.0.1,1.0.1,2024-01-25,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
FileFlows,Apps/FileFlows/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,repo,revenz/fileflows:stable,stable,2024-12-18,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Firefly,Apps/Firefly/docker-compose.yml,ok,,,,uusec/firefly:latest,latest,2024-06-11,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
FlareSolverr,Apps/FlareSolverr/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,ghcr.io/flaresolverr/flaresolverr:v3.4.5,v3.4.5,2025-11-11,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
FlowiseAi,Apps/FlowiseAi/docker-compose.yml,ok,,,,flowiseai/flowise:3.0.11,3.0.11,2025-11-16,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
FreshRSS,Apps/FreshRSS/docker-compose.yml,ok,,,,freshrss/freshrss:1.27.1,1.27.1,2025-09-27,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Gateway-go,Apps/Gateway-go/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,openiothub/gateway-go:v2.0.11,v2.0.11,2025-07-30,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Gitea,Apps/Gitea/docker-compose.yml,ok,,,,gitea/gitea:1.25,1.25,2025-10-29,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Glances,Apps/Glances/docker-compose.yml,ok,,,,nicolargo/glances:4.4.1,4.4.1,2025-11-05,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Gopeed,Apps/Gopeed/docker-compose.yml,ok,,,,liwei2633/gopeed:v1.8.3,v1.8.3,2025-11-30,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Grafana,Apps/Grafana/docker-compose.yml,ok,,,,grafana/grafana:12.1.4,12.1.4,2025-11-19,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Handbrake,Apps/Handbrake/docker-compose.yml,ok,,,,jlesage/handbrake:v25.10.1,v25.10.1,2025-10-14,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
HermesAgent,Apps/HermesAgent/docker-compose.yml,ok,,,,nousresearch/hermes-agent:latest,latest,2026-04-30,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
HoloPlay,Apps/HoloPlay/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,spout8301/holoplay:1.12.3,1.12.3,2025-03-18,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
HomeAssistant,Apps/HomeAssistant/docker-compose.yml,ok,,,,homeassistant/home-assistant:2025.11,2025.11,2025-11-05,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Homebridge,Apps/Homebridge/docker-compose.yml,ok,,,,homebridge/homebridge:latest,latest,2026-03-29,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Hugo,Apps/Hugo/docker-compose.yml,ok,,,,ghcr.io/gohugoio/hugo:v0.152.2,v0.152.2,2025-10-24,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Immich,Apps/Immich/docker-compose.yml,ok,,,,ghcr.io/immich-app/immich-server:v2.7.2,v2.7.2,2026-04-07,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Index-TTS,Apps/Index-TTS/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,icewhaletech/index-tts:2.0,2.0,2026-01-08,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Index-TTS_Nvidia,Apps/Index-TTS_Nvidia/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,icewhaletech/index-tts:2.0,2.0,2026-01-08,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Jackett,Apps/Jackett/docker-compose.yml,fixed_this_run,version_image_mismatch_after_upstream_merge,version/updateAt/releaseNotes 对齐主镜像 linuxserver/jackett:0.24.1841,website,linuxserver/jackett:0.24.1841,0.24.1841,2026-05-11,https://github.com/Jackett/Jackett/releases/tag/v0.24.1841,
JDownloader2,Apps/JDownloader2/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,"website,repo",jlesage/jdownloader-2:latest,latest,2024-01-25,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Jellyfin,Apps/Jellyfin/docker-compose.yml,ok,,,,linuxserver/jellyfin:10.10.7,10.10.7,2025-04-05,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Jellyfin_Nvidia,Apps/Jellyfin_Nvidia/docker-compose.yml,ok,,,,linuxserver/jellyfin:10.10.6,10.10.6,2025-02-16,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Jellyseerr,Apps/Jellyseerr/docker-compose.yml,ok,,,,fallenbagel/jellyseerr:2.7.3,2.7.3,2025-08-14,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Jenkin,Apps/Jenkin/docker-compose.yml,ok,,,,jenkins/jenkins:lts-jdk17,lts-jdk17,2024-10-24,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Kavita,Apps/Kavita/docker-compose.yml,ok,,,,jvmilazz0/kavita:0.8.8,0.8.8,2025-10-20,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Komga,Apps/Komga/docker-compose.yml,ok,,,,gotson/komga:1.23.6,1.23.6,2025-11-28,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
LabelStudio,Apps/LabelStudio/docker-compose.yml,ok,,,,heartexlabs/label-studio:1.9.2,1.9.2,2023-11-07,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
LangFlow,Apps/LangFlow/docker-compose.yml,ok,,,,langflowai/langflow:1.5.0,1.5.0,2025-07-08,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Lazylibrarian,Apps/Lazylibrarian/docker-compose.yml,ok,,,,linuxserver/lazylibrarian:version-169e669f,version-169e669f,2025-12-03,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
LibreChat,Apps/LibreChat/docker-compose.yml,ok,,,,ghcr.io/danny-avila/librechat-dev:latest,latest,2026-04-20,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Lidarr,Apps/Lidarr/docker-compose.yml,ok,,,,linuxserver/lidarr:3.1.0,3.1.0,2025-12-03,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Linkwarden,Apps/Linkwarden/docker-compose.yml,fixed_this_run,null_support_after_upstream_merge,support 从 YAML null 规范化为空字符串,support,ghcr.io/linkwarden/linkwarden:v2.14.1,v2.14.1,2026-04-22,local structural scan,
LLaMA-Factory_Nvidia,Apps/LLaMA-Factory_Nvidia/docker-compose.yml,ok,,,,hiyouga/llamafactory:0.9.4,0.9.4,2025-12-31,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Logseq,Apps/Logseq/docker-compose.yml,ok,,,,correctroad/logseq:v0.10.10,v0.10.10,2025-05-06,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Lucky,Apps/Lucky/docker-compose.yml,ok,,,,gdy666/lucky:2.20.2,2.20.2,2025-11-20,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
LyrionMusicServer,Apps/LyrionMusicServer/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,support,lmscommunity/lyrionmusicserver:9.1.0,9.1.0,2026-02-19,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
MariaDB,Apps/MariaDB/docker-compose.yml,ok,,,,linuxserver/mariadb:11.4.8,11.4.8,2025-08-06,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Maybe,Apps/Maybe/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,ghcr.io/maybe-finance/maybe:latest,latest,2025-09-04,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
