app,upstream_main_compose,local_compose,upstream_main_image,local_image,image_exact_match,image_normalized_match,upstream_tag,local_version,version_matches_upstream_tag,updateAt,releaseNotes_present,appfile_status,result,issues
2FAuth,Apps/2FAuth/docker-compose.yml,Apps/2FAuth/docker-compose.yml,2fauth/2fauth:5.4.3,2fauth/2fauth:5.4.3,yes,yes,5.4.3,5.4.3,yes,2024-11-27,true,ok,ok,
ActualBudget,Apps/ActualBudget/docker-compose.yml,Apps/ActualBudget/docker-compose.yml,actualbudget/actual-server:25.7.1,actualbudget/actual-server:25.7.1,yes,yes,25.7.1,25.7.1,yes,2025-07-03,true,not_present,ok,
AdGuardHome,Apps/AdGuardHome/docker-compose.yml,Apps/AdGuardHome/docker-compose.yml,adguard/adguardhome:v0.107.61,adguard/adguardhome:v0.107.61,yes,yes,v0.107.61,v0.107.61,yes,2025-04-22,true,ok,ok,
Adminer,Apps/Adminer/docker-compose.yml,Apps/Adminer/docker-compose.yml,adminer:5.4.1,adminer:5.4.1,yes,yes,5.4.1,5.4.1,yes,2025-09-26,true,not_present,ok,
AlbyHub,Apps/AlbyHub/docker-compose.yml,Apps/AlbyHub/docker-compose.yml,ghcr.io/getalby/hub:v1.20.0,ghcr.io/getalby/hub:v1.20.0,yes,yes,v1.20.0,v1.20.0,yes,2025-09-25,true,not_present,ok,
Alist,Apps/Alist/docker-compose.yml,Apps/Alist/docker-compose.yml,xhofe/alist:v3.40.0,xhofe/alist:v3.40.0,yes,yes,v3.40.0,v3.40.0,yes,2024-11-22,true,not_present,ok,
Alist-Sync,Apps/Alist-Sync/docker-compose.yml,Apps/Alist-Sync/docker-compose.yml,xjxjin/alist-sync:1.1.5,xjxjin/alist-sync:1.1.5,yes,yes,1.1.5,1.1.5,yes,2025-03-15,true,not_present,ok,
Anaconda3,Apps/Anaconda3/docker-compose.yml,Apps/Anaconda3/docker-compose.yml,continuumio/anaconda3:2024.10-1,continuumio/anaconda3:2024.10-1,yes,yes,2024.10-1,2024.10-1,yes,2024-10-31,true,not_present,ok,
AnythingLLM,Apps/AnythingLLM/docker-compose.yml,Apps/AnythingLLM/docker-compose.yml,mintplexlabs/anythingllm,mintplexlabs/anythingllm,yes,yes,latest,latest,yes,2024-08-19,false,not_present,ok,
ArchiveBox,Apps/ArchiveBox/docker-compose.yml,Apps/ArchiveBox/docker-compose.yml,archivebox/archivebox:0.7.3,archivebox/archivebox:0.7.3,yes,yes,0.7.3,0.7.3,yes,2024-12-15,true,not_present,ok,
Audiobookshelf,Apps/Audiobookshelf/docker-compose.yml,Apps/Audiobookshelf/docker-compose.yml,ghcr.io/advplyr/audiobookshelf:2.30.0,ghcr.io/advplyr/audiobookshelf:2.30.0,yes,yes,2.30.0,2.30.0,yes,2025-10-08,true,not_present,ok,
Autobrr,Apps/Autobrr/docker-compose.yml,Apps/Autobrr/docker-compose.yml,ghcr.io/autobrr/autobrr:v1.69.0,ghcr.io/autobrr/autobrr:v1.69.0,yes,yes,v1.69.0,v1.69.0,yes,2025-11-10,true,not_present,ok,
Bazarr,Apps/Bazarr/docker-compose.yml,Apps/Bazarr/docker-compose.yml,linuxserver/bazarr:1.5.6,linuxserver/bazarr:1.5.6,yes,yes,1.5.6,1.5.6,yes,2026-02-26,true,ok,ok,
BeaverHabitTracker,Apps/BeaverHabitTracker/docker-compose.yml,Apps/BeaverHabitTracker/docker-compose.yml,daya0576/beaverhabits:0.7.3,daya0576/beaverhabits:0.7.3,yes,yes,0.7.3,0.7.3,yes,2025-10-12,true,not_present,ok,
Blinko,Apps/Blinko/docker-compose.yml,Apps/Blinko/docker-compose.yml,blinkospace/blinko:1.8.7,blinkospace/blinko:1.8.7,yes,yes,1.8.7,1.8.7,yes,2026-04-12,true,not_present,ok,
Calibre-web,Apps/Calibre-web/docker-compose.yml,Apps/Calibre-web/docker-compose.yml,linuxserver/calibre-web:0.6.24,linuxserver/calibre-web:0.6.24,yes,yes,0.6.24,0.6.24,yes,2024-11-16,true,ok,ok,
ChatbotUI,Apps/ChatbotUI/docker-compose.yml,Apps/ChatbotUI/docker-compose.yml,ghcr.io/mckaywrigley/chatbot-ui:main,ghcr.io/mckaywrigley/chatbot-ui:main,yes,yes,main,main,yes,2023-07-26,false,not_present,ok,
ChatGPT-Next-Web,Apps/ChatGPT-Next-Web/docker-compose.yml,Apps/ChatGPT-Next-Web/docker-compose.yml,yidadaa/chatgpt-next-web:v2.16.1,yidadaa/chatgpt-next-web:v2.16.1,yes,yes,v2.16.1,v2.16.1,yes,2025-07-29,true,not_present,ok,
CloudBeaver,Apps/CloudBeaver/docker-compose.yml,Apps/CloudBeaver/docker-compose.yml,dbeaver/cloudbeaver:25.2.5,dbeaver/cloudbeaver:25.2.5,yes,yes,25.2.5,25.2.5,yes,2025-11-12,true,not_present,ok,
Cloudflared,Apps/Cloudflared/docker-compose.yml,Apps/Cloudflared/docker-compose.yml,wisdomsky/cloudflared-web:2025.2.1,wisdomsky/cloudflared-web:2025.2.1,yes,yes,2025.2.1,2025.2.1,yes,2025-05-30,false,not_present,ok,
ConvertX,Apps/ConvertX/docker-compose.yml,Apps/ConvertX/docker-compose.yml,c4illin/convertx:v0.14.1,c4illin/convertx:v0.14.1,yes,yes,v0.14.1,v0.14.1,yes,2025-06-04,true,not_present,ok,
CopyParty,Apps/CopyParty/docker-compose.yml,Apps/CopyParty/docker-compose.yml,icewhaletech/copyparty:1.20.13,icewhaletech/copyparty:1.20.13,yes,yes,1.20.13,1.20.13,yes,2026-03-23,true,not_present,ok,
Crafty,Apps/Crafty/docker-compose.yml,Apps/Crafty/docker-compose.yml,registry.gitlab.com/crafty-controller/crafty-4:4.4.11,registry.gitlab.com/crafty-controller/crafty-4:4.4.11,yes,yes,4.4.11,4.4.11,yes,2025-06-27,true,ok,ok,
Databag,Apps/Databag/docker-compose.yml,Apps/Databag/docker-compose.yml,balzack/databag:0.1.18,balzack/databag:0.1.18,yes,yes,0.1.18,0.1.18,yes,2025-11-28,false,not_present,ok,
Ddns-go,Apps/Ddns-go/docker-compose.yml,Apps/Ddns-go/docker-compose.yml,jeessy/ddns-go:v6.17.0,jeessy/ddns-go:v6.17.0,yes,yes,v6.17.0,v6.17.0,yes,2026-05-01,true,not_present,ok,
DDNS-Updater,Apps/DDNS-Updater/docker-compose.yml,Apps/DDNS-Updater/docker-compose.yml,qmcgaw/ddns-updater:v2.9.0,qmcgaw/ddns-updater:v2.9.0,yes,yes,v2.9.0,v2.9.0,yes,2024-12-24,true,not_present,ok,
DeepSeek-OCR_Nvidia,Apps/DeepSeek-OCR_Nvidia/docker-compose.yml,Apps/DeepSeek-OCR_Nvidia/docker-compose.yml,icewhaletech/deepseek-ocr-frontend:v2.2.0,icewhaletech/deepseek-ocr-frontend:v2.2.0,yes,yes,v2.2.0,v2.2.0,yes,2026-03-27,false,not_present,ok,
Deluge,Apps/Deluge/docker-compose.yml,Apps/Deluge/docker-compose.yml,linuxserver/deluge:2.2.0,linuxserver/deluge:2.2.0,yes,yes,2.2.0,2.2.0,yes,2025-04-28,false,ok,ok,
Dify,Apps/Dify/docker-compose.yml,Apps/Dify/docker-compose.yml,langgenius/dify-web:0.12.1,langgenius/dify-web:0.12.1,yes,yes,0.12.1,0.12.1,yes,2024-11-26,true,not_present,ok,
Docmost,Apps/Docmost/docker-compose.yml,Apps/Docmost/docker-compose.yml,docmost/docmost:0.21.0,docmost/docmost:0.21.0,yes,yes,0.21.0,0.21.0,yes,2025-06-18,true,not_present,ok,
Downtify,Apps/Downtify/docker-compose.yml,Apps/Downtify/docker-compose.yml,ghcr.io/henriquesebastiao/downtify:2.6.0,ghcr.io/henriquesebastiao/downtify:2.6.0,yes,yes,2.6.0,2.6.0,yes,2026-05-03,true,not_present,ok,
DuckDNS,Apps/DuckDNS/docker-compose.yml,Apps/DuckDNS/docker-compose.yml,lscr.io/linuxserver/duckdns:latest,lscr.io/linuxserver/duckdns:latest,yes,yes,latest,latest,yes,2025-03-13,false,not_present,ok,
Duplicati,Apps/Duplicati/docker-compose.yml,Apps/Duplicati/docker-compose.yml,linuxserver/duplicati:2.1.0,linuxserver/duplicati:2.1.0,yes,yes,2.1.0,2.1.0,yes,2025-03-06,false,ok,ok,
Emby,Apps/Emby/docker-compose.yml,Apps/Emby/docker-compose.yml,linuxserver/emby:4.9.1,linuxserver/emby:4.9.1,yes,yes,4.9.1,4.9.1,yes,2025-09-30,true,ok,ok,
Emby_Nvidia,Apps/Emby_Nvidia/docker-compose.yml,Apps/Emby_Nvidia/docker-compose.yml,linuxserver/emby:4.9.1,linuxserver/emby:4.9.1,yes,yes,4.9.1,4.9.1,yes,2025-09-30,true,not_present,ok,
Embystat,Apps/Embystat/docker-compose.yml,Apps/Embystat/docker-compose.yml,linuxserver/embystat:0.2.0,linuxserver/embystat:0.2.0,yes,yes,0.2.0,0.2.0,yes,2023-11-27,true,ok,ok,
EmulatorJS,Apps/EmulatorJS/docker-compose.yml,Apps/EmulatorJS/docker-compose.yml,linuxserver/emulatorjs:1.9.2,linuxserver/emulatorjs:1.9.2,yes,yes,1.9.2,1.9.2,yes,2024-09-12,true,ok,ok,
ESPHome,Apps/ESPHome/docker-compose.yml,Apps/ESPHome/docker-compose.yml,ghcr.io/esphome/esphome:2025.11.0,ghcr.io/esphome/esphome:2025.11.0,yes,yes,2025.11.0,2025.11.0,yes,2025-11-19,true,not_present,ok,
Excalidraw,Apps/Excalidraw/docker-compose.yml,Apps/Excalidraw/docker-compose.yml,excalidraw/excalidraw:latest,excalidraw/excalidraw:latest,yes,yes,latest,latest,yes,2025-08-06,false,not_present,ok,
Filedrop,Apps/Filedrop/docker-compose.yml,Apps/Filedrop/docker-compose.yml,noecl/filedrop:1.0.1,noecl/filedrop:1.0.1,yes,yes,1.0.1,1.0.1,yes,2024-01-25,false,not_present,ok,
FileFlows,Apps/FileFlows/docker-compose.yml,Apps/FileFlows/docker-compose.yml,revenz/fileflows:stable,revenz/fileflows:stable,yes,yes,stable,stable,yes,2024-12-18,false,not_present,ok,
Firefly,Apps/Firefly/docker-compose.yml,Apps/Firefly/docker-compose.yml,uusec/firefly:latest,uusec/firefly:latest,yes,yes,latest,latest,yes,2024-06-11,false,not_present,ok,
FlareSolverr,Apps/FlareSolverr/docker-compose.yml,Apps/FlareSolverr/docker-compose.yml,ghcr.io/flaresolverr/flaresolverr:v3.4.5,ghcr.io/flaresolverr/flaresolverr:v3.4.5,yes,yes,v3.4.5,v3.4.5,yes,2025-11-11,true,not_present,ok,
FlowiseAi,Apps/FlowiseAi/docker-compose.yml,Apps/FlowiseAi/docker-compose.yml,flowiseai/flowise:3.0.11,flowiseai/flowise:3.0.11,yes,yes,3.0.11,3.0.11,yes,2025-11-16,true,not_present,ok,
FreshRSS,Apps/FreshRSS/docker-compose.yml,Apps/FreshRSS/docker-compose.yml,freshrss/freshrss:1.27.1,freshrss/freshrss:1.27.1,yes,yes,1.27.1,1.27.1,yes,2025-09-27,true,not_present,ok,
Gateway-go,Apps/Gateway-go/docker-compose.yml,Apps/Gateway-go/docker-compose.yml,openiothub/gateway-go:v2.0.11,openiothub/gateway-go:v2.0.11,yes,yes,v2.0.11,v2.0.11,yes,2025-07-30,true,not_present,ok,
Gitea,Apps/Gitea/docker-compose.yml,Apps/Gitea/docker-compose.yml,gitea/gitea:1.25,gitea/gitea:1.25,yes,yes,1.25,1.25,yes,2025-10-29,true,ok,ok,
Glances,Apps/Glances/docker-compose.yml,Apps/Glances/docker-compose.yml,nicolargo/glances:4.4.1,nicolargo/glances:4.4.1,yes,yes,4.4.1,4.4.1,yes,2025-11-05,true,not_present,ok,
Gopeed,Apps/Gopeed/docker-compose.yml,Apps/Gopeed/docker-compose.yml,liwei2633/gopeed:v1.8.3,liwei2633/gopeed:v1.8.3,yes,yes,v1.8.3,v1.8.3,yes,2025-11-30,true,not_present,ok,
Grafana,Apps/Grafana/docker-compose.yml,Apps/Grafana/docker-compose.yml,grafana/grafana:12.1.4,grafana/grafana:12.1.4,yes,yes,12.1.4,12.1.4,yes,2025-11-19,true,ok,ok,
Handbrake,Apps/Handbrake/docker-compose.yml,Apps/Handbrake/docker-compose.yml,jlesage/handbrake:v25.10.1,jlesage/handbrake:v25.10.1,yes,yes,v25.10.1,v25.10.1,yes,2025-10-14,true,ok,ok,
HermesAgent,,Apps/HermesAgent/docker-compose.yml,,nousresearch/hermes-agent:latest,n/a,n/a,,latest,n/a,2026-04-30,false,n/a,problem,not_in_upstream_main
HoloPlay,Apps/HoloPlay/docker-compose.yml,Apps/HoloPlay/docker-compose.yml,spout8301/holoplay:1.12.3,spout8301/holoplay:1.12.3,yes,yes,1.12.3,1.12.3,yes,2025-03-18,false,not_present,ok,
HomeAssistant,Apps/HomeAssistant/docker-compose.yml,Apps/HomeAssistant/docker-compose.yml,homeassistant/home-assistant:2025.11,homeassistant/home-assistant:2025.11,yes,yes,2025.11,2025.11,yes,2025-11-05,true,not_present,ok,
Homebridge,Apps/Homebridge/docker-compose.yml,Apps/Homebridge/docker-compose.yml,homebridge/homebridge:latest,homebridge/homebridge:latest,yes,yes,latest,latest,yes,2026-03-29,false,not_present,ok,
Hugo,Apps/Hugo/docker-compose.yml,Apps/Hugo/docker-compose.yml,ghcr.io/gohugoio/hugo:v0.152.2,ghcr.io/gohugoio/hugo:v0.152.2,yes,yes,v0.152.2,v0.152.2,yes,2025-10-24,true,not_present,ok,
Immich,Apps/Immich/docker-compose.yml,Apps/Immich/docker-compose.yml,ghcr.io/immich-app/immich-server:v2.7.2,ghcr.io/immich-app/immich-server:v2.7.2,yes,yes,v2.7.2,v2.7.2,yes,2026-04-07,true,not_present,ok,
Index-TTS,Apps/Index-TTS/docker-compose.yml,Apps/Index-TTS/docker-compose.yml,icewhaletech/index-tts:2.0,icewhaletech/index-tts:2.0,yes,yes,2.0,2.0,yes,2026-01-08,false,not_present,ok,
Index-TTS_Nvidia,Apps/Index-TTS_Nvidia/docker-compose.yml,Apps/Index-TTS_Nvidia/docker-compose.yml,icewhaletech/index-tts:2.0,icewhaletech/index-tts:2.0,yes,yes,2.0,2.0,yes,2026-01-08,false,not_present,ok,
Jackett,Apps/Jackett/docker-compose.yml,Apps/Jackett/docker-compose.yml,linuxserver/jackett:0.24.1841,linuxserver/jackett:0.24.1841,yes,yes,0.24.1841,0.24.1841,yes,2026-05-11,true,ok,ok,
JDownloader2,Apps/JDownloader2/docker-compose.yml,Apps/JDownloader2/docker-compose.yml,jlesage/jdownloader-2:latest,jlesage/jdownloader-2:latest,yes,yes,latest,latest,yes,2024-01-25,false,not_present,ok,
Jellyfin,Apps/Jellyfin/docker-compose.yml,Apps/Jellyfin/docker-compose.yml,linuxserver/jellyfin:10.10.7,linuxserver/jellyfin:10.10.7,yes,yes,10.10.7,10.10.7,yes,2025-04-05,true,ok,ok,
Jellyfin_Nvidia,Apps/Jellyfin_Nvidia/docker-compose.yml,Apps/Jellyfin_Nvidia/docker-compose.yml,linuxserver/jellyfin:10.10.6,linuxserver/jellyfin:10.10.6,yes,yes,10.10.6,10.10.6,yes,2025-02-16,true,not_present,ok,
Jellyseerr,,Apps/Jellyseerr/docker-compose.yml,,fallenbagel/jellyseerr:2.7.3,n/a,n/a,,2.7.3,n/a,2025-08-14,true,n/a,problem,not_in_upstream_main
Jenkin,Apps/Jenkin/docker-compose.yml,Apps/Jenkin/docker-compose.yml,jenkins/jenkins:lts-jdk17,jenkins/jenkins:lts-jdk17,yes,yes,lts-jdk17,lts-jdk17,yes,2024-10-24,false,not_present,ok,
Kavita,Apps/Kavita/docker-compose.yml,Apps/Kavita/docker-compose.yml,jvmilazz0/kavita:0.8.8,jvmilazz0/kavita:0.8.8,yes,yes,0.8.8,0.8.8,yes,2025-10-20,true,not_present,ok,
Komga,Apps/Komga/docker-compose.yml,Apps/Komga/docker-compose.yml,gotson/komga:1.23.6,gotson/komga:1.23.6,yes,yes,1.23.6,1.23.6,yes,2025-11-28,true,not_present,ok,
LabelStudio,Apps/LabelStudio/docker-compose.yml,Apps/LabelStudio/docker-compose.yml,heartexlabs/label-studio:1.9.2,heartexlabs/label-studio:1.9.2,yes,yes,1.9.2,1.9.2,yes,2023-11-07,true,not_present,ok,
LangFlow,Apps/LangFlow/docker-compose.yml,Apps/LangFlow/docker-compose.yml,langflowai/langflow:1.5.0,langflowai/langflow:1.5.0,yes,yes,1.5.0,1.5.0,yes,2025-07-08,true,not_present,ok,
Lazylibrarian,Apps/Lazylibrarian/docker-compose.yml,Apps/Lazylibrarian/docker-compose.yml,linuxserver/lazylibrarian:version-169e669f,linuxserver/lazylibrarian:version-169e669f,yes,yes,version-169e669f,version-169e669f,yes,2025-12-03,false,ok,ok,
LibreChat,Apps/LibreChat/docker-compose.yml,Apps/LibreChat/docker-compose.yml,ghcr.io/danny-avila/librechat-dev:latest,ghcr.io/danny-avila/librechat-dev:latest,yes,yes,latest,latest,yes,2026-04-20,false,not_present,ok,
Lidarr,Apps/Lidarr/docker-compose.yml,Apps/Lidarr/docker-compose.yml,linuxserver/lidarr:3.1.0,linuxserver/lidarr:3.1.0,yes,yes,3.1.0,3.1.0,yes,2025-12-03,true,ok,ok,
Linkwarden,Apps/Linkwarden/docker-compose.yml,Apps/Linkwarden/docker-compose.yml,ghcr.io/linkwarden/linkwarden:v2.14.1,ghcr.io/linkwarden/linkwarden:v2.14.1,yes,yes,v2.14.1,v2.14.1,yes,2026-04-22,true,not_present,ok,
LLaMA-Factory_Nvidia,Apps/LLaMA-Factory_Nvidia/docker-compose.yml,Apps/LLaMA-Factory_Nvidia/docker-compose.yml,hiyouga/llamafactory:0.9.4,hiyouga/llamafactory:0.9.4,yes,yes,0.9.4,0.9.4,yes,2025-12-31,true,not_present,ok,
Logseq,,Apps/Logseq/docker-compose.yml,,correctroad/logseq:v0.10.10,n/a,n/a,,v0.10.10,n/a,2025-05-06,true,n/a,problem,not_in_upstream_main
Lucky,Apps/Lucky/docker-compose.yml,Apps/Lucky/docker-compose.yml,gdy666/lucky:2.20.2,gdy666/lucky:2.20.2,yes,yes,2.20.2,2.20.2,yes,2025-11-20,true,not_present,ok,
LyrionMusicServer,Apps/LyrionMusicServer/docker-compose.yml,Apps/LyrionMusicServer/docker-compose.yml,lmscommunity/lyrionmusicserver:9.1.0,lmscommunity/lyrionmusicserver:9.1.0,yes,yes,9.1.0,9.1.0,yes,2026-02-19,true,not_present,ok,
MariaDB,Apps/MariaDB/docker-compose.yml,Apps/MariaDB/docker-compose.yml,linuxserver/mariadb:11.4.8,linuxserver/mariadb:11.4.8,yes,yes,11.4.8,11.4.8,yes,2025-08-06,true,not_present,ok,
Maybe,Apps/Maybe/docker-compose.yml,Apps/Maybe/docker-compose.yml,ghcr.io/maybe-finance/maybe:latest,ghcr.io/maybe-finance/maybe:latest,yes,yes,latest,latest,yes,2025-09-04,false,not_present,ok,
Medusa,Apps/Medusa/docker-compose.yml,Apps/Medusa/docker-compose.yml,pymedusa/medusa:master,pymedusa/medusa:master,yes,yes,master,master,yes,2024-03-26,false,not_present,ok,
Memos,Apps/Memos/docker-compose.yml,Apps/Memos/docker-compose.yml,neosmemo/memos:0.25,neosmemo/memos:0.25,yes,yes,0.25,0.25,yes,2025-07-16,true,ok,ok,
