app,compose_path,severity,category,field,value,status,evidence,suggestion,source_url
ALL,Apps/*/docker-compose.yml,info,git_commit,commit,b8f1391,completed,"提交 release notes 元数据修复：141 个 app，335 insertions / 191 deletions。","已提交，等待 push。",""
ALL,Apps/*/docker-compose.yml,info,git_commit,commit,0055d6b,completed,"提交 app links / websites 修复：21 个 app，25 insertions / 25 deletions。","已提交，等待 push。",""
TaskingAI,Apps/TaskingAI/docker-compose.yml,info,git_commit,commit,012994b,completed,"提交 TaskingAI website broken link 修复：1 个 app，1 insertion / 1 deletion。","已提交，等待 push。","https://docs.tasking.ai/"
Jellyseerr,Apps/Jellyseerr/docker-compose.yml,critical,missing_compose,docker-compose.yml,docker-compose.yaml -> docker-compose.yml,fixed,"原清单报告缺少 docker-compose.yml；本次已将 docker-compose.yaml 重命名为 docker-compose.yml。","已修复并提交在早前 commit 50bb4d3。",""
Logseq,Apps/Logseq/docker-compose.yml,critical,missing_compose,docker-compose.yml,docker-compose.yaml -> docker-compose.yml,fixed,"原清单报告缺少 docker-compose.yml；本次已将 docker-compose.yaml 重命名为 docker-compose.yml。","已修复并提交在早前 commit 50bb4d3。",""
Trilium,Apps/Trilium/docker-compose.yml,critical,missing_compose,docker-compose.yml,docker-compose.yaml -> docker-compose.yml,fixed,"原清单报告缺少 docker-compose.yml；本次已将 docker-compose.yaml 重命名为 docker-compose.yml。","已修复并提交在早前 commit 50bb4d3。",""
AlbyHub,Apps/AlbyHub/docker-compose.yml,critical,missing_main_service,main,albyhub,fixed,"补齐 x-casaos.main，指向主服务 albyhub。","已修复并提交在早前 commit 50bb4d3。",""
EmulatorJS,Apps/EmulatorJS/docker-compose.yml,critical,missing_main_service,main,emulatorjs,fixed,"补齐 x-casaos.main，指向主服务 emulatorjs。","已修复并提交在早前 commit 50bb4d3。",""
FlareSolverr,Apps/FlareSolverr/docker-compose.yml,critical,missing_main_service,main,flaresolverr,fixed,"补齐 x-casaos.main，指向主服务 flaresolverr。","已修复并提交在早前 commit 50bb4d3。",""
Handbrake,Apps/Handbrake/docker-compose.yml,critical,missing_main_service,main,handbrake,fixed,"补齐 x-casaos.main，指向主服务 handbrake。","已修复并提交在早前 commit 50bb4d3。",""
Netdata,Apps/Netdata/docker-compose.yml,critical,missing_main_service,main,app,fixed,"补齐 x-casaos.main，指向主服务 app。","已修复并提交在早前 commit 50bb4d3。",""
RDTClient,Apps/RDTClient/docker-compose.yml,critical,missing_main_service,main,rdtclient,fixed,"补齐 x-casaos.main，指向主服务 rdtclient。","已修复并提交在早前 commit 50bb4d3。",""
Resilio-sync,Apps/Resilio-sync/docker-compose.yml,critical,missing_main_service,main,resilio-sync,fixed,"补齐 x-casaos.main，指向主服务 resilio-sync。","已修复并提交在早前 commit 50bb4d3。",""
Snapdrop,Apps/Snapdrop/docker-compose.yml,critical,missing_main_service,main,snapdrop,fixed,"补齐 x-casaos.main，指向主服务 snapdrop。","已修复并提交在早前 commit 50bb4d3。",""
ALL,Apps/*/docker-compose.yml,high,updateAt_mismatch,updateAt,87 rows,fixed,"按原 CSV evidence 中的实际日期修复 87 个 updateAt_mismatch。","已修复并提交在早前 commit 50bb4d3。",""
ALL,Apps/*/docker-compose.yml,high,releaseNotes_placeholder,releaseNotes,72 rows,fixed,"清理 releaseNotes 占位文本；能映射 GitHub release/changelog 的写入实际变更，不能映射的明确说明原因。","已提交在 b8f1391。",""
ALL,Apps/*/docker-compose.yml,high,releaseNotes_mismatch,releaseNotes,44 rows,fixed,"按 GitHub Release、GitHub compare 或官方 changelog 重写与版本不匹配的 releaseNotes。","已提交在 b8f1391。",""
ALL,Apps/*/docker-compose.yml,high,releaseNotes_version_mismatch,releaseNotes,34 rows,fixed,"移除或修正 releaseNotes 中与 x-casaos.version 不匹配的版本表述。","已提交在 b8f1391。",""
ALL,Apps/*/docker-compose.yml,medium,release_not_found,version,37 rows,reviewed,"能找到 GitHub/官方来源的写入实际 changelog；找不到匹配 tag/release 的明确标注无法映射。","已提交在 b8f1391；后续如上游补齐 release 可再更新。",""
ALL,Apps/*/docker-compose.yml,medium,floating_tag_release_unverifiable,version,21 rows,reviewed,"latest/main/master 等浮动 tag 未伪造 release；统一说明需 pin 到具体 tag 后才能稳定映射。","已提交在 b8f1391；建议后续按产品策略决定是否 pin 版本。",""
Petio,Apps/Petio/docker-compose.yml,medium,digest_release_unverifiable,version,sha256 digest,reviewed,"digest 镜像无法自动映射到单一上游 release note，已在 releaseNotes 中说明。","已提交在 b8f1391；如需更精确需人工映射 digest 到 tag。",""
ALL,Apps/*/docker-compose.yml,high,broken_link,website/docs/support/repo,16 rows,fixed,"原清单中 broken_link 项全部复核并修复；当前 bad_broken_links=0。","已提交在 50bb4d3、0055d6b、012994b。",""
CloudBeaver,Apps/CloudBeaver/docker-compose.yml,high,broken_link,website,https://dbeaver.com/download/cloudbeaver/,fixed,"原链接 404，改为可访问的 CloudBeaver 下载入口，最终跳转到 CloudBeaver Enterprise download 区域。","无需进一步处理。","https://dbeaver.com/download/cloudbeaver/"
CopyParty,Apps/CopyParty/docker-compose.yml,high,broken_link,website,https://copyparty.eu/,fixed,"原域名 copyparty.no 无法解析，改为可访问官网。","无需进一步处理。","https://copyparty.eu/"
Emby,Apps/Emby/docker-compose.yml,high,broken_link,docs,https://support.emby.media/support/,fixed,"原 docs 链接 404，改为 Emby support 入口。","无需进一步处理。","https://support.emby.media/support/"
Emby_Nvidia,Apps/Emby_Nvidia/docker-compose.yml,high,broken_link,docs,https://support.emby.media/support/,fixed,"原 docs 链接 404，改为 Emby support 入口。","无需进一步处理。","https://support.emby.media/support/"
HoloPlay,Apps/HoloPlay/docker-compose.yml,high,broken_link,website/docs,GitHub repo/readme,fixed,"原 holoplay.io TLS 证书异常，改为项目 GitHub 仓库和 README。","无需进一步处理。","https://github.com/stephane-r/HoloPlay"
JDownloader2,Apps/JDownloader2/docker-compose.yml,medium,broken_link,repo,https://jdownloader.org/svn-changes,fixed,"原支持知识库源码页 404；JDownloader 源码走 SVN，公开 SVN 根返回认证，保留官方可访问 SVN changes 页面。","如需严格源码仓库字段，需人工确认 SVN 认证入口是否允许。","https://jdownloader.org/svn-changes"
Komga,Apps/Komga/docker-compose.yml,high,broken_link,docs,https://komga.org/docs/introduction/,fixed,"原 docs 链接 404，改为文档 introduction 页。","无需进一步处理。","https://komga.org/docs/introduction/"
MariaDB,Apps/MariaDB/docker-compose.yml,high,broken_link,support,https://mariadb.com/kb/en/getting-help-with-mariadb/,fixed,"原 mariadb.org/get-help 返回 404，改为 MariaDB get help 页面。","无需进一步处理。","https://mariadb.com/kb/en/getting-help-with-mariadb/"
MineOS,Apps/MineOS/docker-compose.yml,high,broken_link,website/docs,https://www.mineos.net/,fixed,"原 minecraft.codeemo.com 无法解析，改为 MineOS 官网。","无需进一步处理。","https://www.mineos.net/"
NetBird,Apps/NetBird/docker-compose.yml,medium,broken_link,support,https://netbird.io/knowledge-hub/reporting-bugs-and-requesting-features-in-netbird,fixed,"原链接跳到受限 Slack 邀请页，改为公开支持/反馈说明页。","当前 curl 在本机可能超时，但不是原始受限 Slack 问题。","https://netbird.io/knowledge-hub/reporting-bugs-and-requesting-features-in-netbird"
Pingvin-Share,Apps/Pingvin-Share/docker-compose.yml,high,broken_link,website,https://stonith404.github.io/pingvin-share/,fixed,"原 pingvin-share.dev 无法解析，改为 GitHub Pages 官网。","无需进一步处理。","https://stonith404.github.io/pingvin-share/"
Portainer,Apps/Portainer/docker-compose.yml,high,broken_link,support,https://docs.portainer.io/faqs/getting-support,fixed,"原 support 链接 404，改为 Portainer getting support FAQ。","无需进一步处理。","https://docs.portainer.io/faqs/getting-support"
PyLoad,Apps/PyLoad/docker-compose.yml,high,broken_link,docs,https://github.com/pyload/pyload/wiki,fixed,"原 docs.pyload.net 无法解析，改为官方 GitHub wiki。","无需进一步处理。","https://github.com/pyload/pyload/wiki"
TaskingAI,Apps/TaskingAI/docker-compose.yml,high,broken_link,website,https://docs.tasking.ai/,fixed,"原 https://www.tasking.ai 返回 404；改为可访问官方 docs 入口。","已提交在 012994b。","https://docs.tasking.ai/"
ALL,Apps/*/docker-compose.yml,medium,link_needs_review,website/docs/support,28 rows,mostly_fixed,"对 link_needs_review 当前 URL 重新复核，大部分已为 2xx/3xx。","剩余 Maybe website curl 返回 403，但浏览器/网页抓取可访问，判断为反爬，暂保留。",""
Maybe,Apps/Maybe/docker-compose.yml,low,link_needs_review,website,"",blanked,"curl 返回 403，虽然网页可打开，但按“所有不确定的先留空”口径处理。","已置空，保留 repo/support/docs。",""
ALL,Apps/*/docker-compose.yml,medium,website_semantics,website,selected rows,partially_fixed,"已修复能确认官网/homepage 的项，例如 N8n、Downtify、Firefly、EmulatorJS、Handbrake、PdfDing、Sure、oPodSync 等。","剩余 GitHub-only 项未硬改，避免填入第三方或同名错误链接。",""
ALL,Apps/*/docker-compose.yml,medium,website_equals_repo,website,selected rows,partially_fixed,"通过 GitHub homepage、官方站点、文档入口修复一批 website=repo。","仍有无可信官网项目保留 repo 作为 website，需按规则人工确认是否接受。",""
LyrionMusicServer,Apps/LyrionMusicServer/docker-compose.yml,medium,support_equals_repo,support,https://forums.lyrion.org/,fixed,"support 原等于 repo，已改为 Lyrion 官方论坛。","无需进一步处理。","https://forums.lyrion.org/"
Filedrop,Apps/Filedrop/docker-compose.yml,medium,repo_not_source_repository,repo,https://hub.docker.com/r/noecl/filedrop,needs_manual_review,"未找到 noecl/filedrop:1.0.1 对应的可信源码仓库；同名 FileDrop 项目较多，不能直接替换。","建议人工确认镜像来源后再改 repo/docs/support/website。","https://hub.docker.com/r/noecl/filedrop"
Filedrop,Apps/Filedrop/docker-compose.yml,medium,manual_fact_check_needed,version,1.0.1,needs_manual_review,"当前仓库不在自动 release 核验支持范围，且未确认源码仓库。","建议人工核对该版本发布日期和更新日志。","https://hub.docker.com/r/noecl/filedrop"
ALL,Apps/*/docker-compose.yml,info,verification,git diff --check,pass,completed,"最近一次 git diff --check 通过；仅出现 Windows LF/CRLF warning。","无需处理。",""
ALL,.,info,git_status,branch,add-field ahead 3,completed,"当前分支 add-field 相对 origin/add-field ahead 3；工作树仅剩未跟踪 .casaos-gen/。","如需同步远端，可 push。",""
ALL,Apps/*/docker-compose.yml,medium,uncertain_link_policy,website/repo/support/docs,blanked,completed,"按用户反馈：所有不确定的链接字段先留空。本轮将无可信官网的 website、Filedrop 的 repo/support/docs/website、以及 Docker Hub 被当作 website 的 DDNS-Updater 置空。","建议后续确认可信来源后再补回。",""
Maybe,Apps/Maybe/docker-compose.yml,low,website_uncertain,website,"",blanked,"当前自动复核仍返回 403；按不确定链接置空。","已置空，保留 repo/support/docs。",""
Alist-Sync,Apps/Alist-Sync/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
Calibre-web,Apps/Calibre-web/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
ConvertX,Apps/ConvertX/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
Databag,Apps/Databag/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
Ddns-go,Apps/Ddns-go/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
DDNS-Updater,Apps/DDNS-Updater/docker-compose.yml,medium,website_uncertain,website,"",blanked,"GitHub homepage 指向 Docker Hub，但作为 website 语义不确定。","已置空，保留 repo/support/docs。",""
DeepSeek-OCR_Nvidia,Apps/DeepSeek-OCR_Nvidia/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
Embystat,Apps/Embystat/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
Filedrop,Apps/Filedrop/docker-compose.yml,medium,source_uncertain,website/repo/support/docs,"",blanked,"未找到 noecl/filedrop:1.0.1 对应的可信源码仓库、文档或支持入口。","website、repo、support、docs 均已置空。",""
FlareSolverr,Apps/FlareSolverr/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
Gateway-go,Apps/Gateway-go/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
Index-TTS,Apps/Index-TTS/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
Index-TTS_Nvidia,Apps/Index-TTS_Nvidia/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
Jackett,Apps/Jackett/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
Motioneye,Apps/Motioneye/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
Mylar3,Apps/Mylar3/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
Peanut,Apps/Peanut/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
Pinchflat,Apps/Pinchflat/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
PsiTransfer,Apps/PsiTransfer/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
RDTClient,Apps/RDTClient/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
StableDiffusionWebUI,Apps/StableDiffusionWebUI/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
Threadfin,Apps/Threadfin/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
TurboDiffusion_Nvidia,Apps/TurboDiffusion_Nvidia/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
WebDav,Apps/WebDav/docker-compose.yml,medium,website_uncertain,website,"",blanked,"未找到可信官网；原 website 等于 GitHub repo。","已置空，保留 repo/support/docs。",""
ALL,Apps/*/docker-compose.yml,info,full_compose_scan,docker-compose.yml,163 files,completed,"全量扫描 Apps 下 163 个 docker-compose.yml；所有 app 目录均存在 docker-compose.yml。","无需处理。",""
ALL,Apps/*/docker-compose.yml,info,full_compose_scan,required_fields,version/updateAt/releaseNotes/website/repo/support/docs/main,completed,"全量扫描后，version、updateAt、releaseNotes、website、repo、support、docs、main 缺失数均为 0。","无需处理。",""
ALL,Apps/*/docker-compose.yml,info,full_compose_scan,releaseNotes,placeholder_like,completed,"全量扫描 releaseNotes，占位/泛化语气匹配数为 0。","无需处理。",""
ALL,Apps/*/docker-compose.yml,info,full_compose_scan,updateAt,format,completed,"全量扫描 updateAt，格式异常数为 0。","无需处理。",""
ALL,Apps/*/docker-compose.yml,info,full_compose_scan,links,612 checked,completed,"全量 GET 扫描非空 website/repo/support/docs 链接 612 个，bad_links=0。","无需处理。",""
Jellyseerr,Apps/Jellyseerr/docker-compose.yml,high,metadata_missing,version/updateAt/releaseNotes/website/repo/support/docs,filled,"全量扫描发现 Jellyseerr 缺 7 个元数据字段；已按 v2.7.3 GitHub release 和官方站点补齐。","建议提交本轮改动。","https://github.com/Fallenbagel/jellyseerr/releases/tag/v2.7.3"
Logseq,Apps/Logseq/docker-compose.yml,high,metadata_missing,version/updateAt/releaseNotes/website/repo/support/docs,filled,"全量扫描发现 Logseq 缺 7 个元数据字段；tag 0.10.10 无 GitHub Release 对象，使用 tag commit 日期并写明不可映射 release body。","建议提交本轮改动。","https://github.com/logseq/logseq"
Trilium,Apps/Trilium/docker-compose.yml,high,metadata_missing,main/version/updateAt/releaseNotes/website/repo/support/docs,filled,"全量扫描发现 Trilium 缺 main 与 7 个元数据字段；已按 v0.99.3 GitHub release 和官方文档补齐。","建议提交本轮改动。","https://github.com/TriliumNext/Trilium/releases/tag/v0.99.3"
HoloPlay,Apps/HoloPlay/docker-compose.yml,medium,website_uncertain,website,"",blanked,"全量扫描发现 website 仍为 GitHub repo；按不确定先留空处理。","建议提交本轮改动。",""
WireGuardEasy,Apps/WireGuardEasy/docker-compose.yml,medium,website_uncertain,website,"",blanked,"全量扫描发现 website 仍为 GitHub repo；按不确定先留空处理。","建议提交本轮改动。",""
ActualBudget,Apps/ActualBudget/docker-compose.yml,medium,broken_link,support,https://github.com/actualbudget/actual/issues,fixed,"全量链接扫描发现 discussions 返回 404；改为 GitHub issues。","建议提交本轮改动。","https://github.com/actualbudget/actual/issues"
Alist,Apps/Alist/docker-compose.yml,medium,redirect_link,website/docs,https://alistgo.com/,fixed,"全量链接扫描发现 alist.nn.ci 跳转；改为 alistgo.com 规范入口。","建议提交本轮改动。","https://alistgo.com/"
Crafty,Apps/Crafty/docker-compose.yml,medium,broken_link,support,"",blanked,"全量链接扫描发现 GitLab issues 返回 404；未确认替代支持入口，按不确定先留空。","建议提交本轮改动。",""
FileFlows,Apps/FileFlows/docker-compose.yml,medium,broken_link,repo,"",blanked,"全量链接扫描发现 GitHub repo 返回 404；未确认源码仓库，按不确定先留空。","建议提交本轮改动。",""
JDownloader2,Apps/JDownloader2/docker-compose.yml,medium,broken_link,website/repo,"",blanked,"全量链接扫描发现 jdownloader.org 与 svn-changes 返回 503；按不确定先留空，保留可访问 support/docs。","建议提交本轮改动。",""
Lazylibrarian,Apps/Lazylibrarian/docker-compose.yml,medium,broken_link,support,https://github.com/LazyLibrarian/LazyLibrarian/issues,fixed,"全量链接扫描发现 GitLab issues 返回 404；改为 GitHub issues。","建议提交本轮改动。","https://github.com/LazyLibrarian/LazyLibrarian/issues"
LyrionMusicServer,Apps/LyrionMusicServer/docker-compose.yml,medium,broken_link,support,"",blanked,"全量链接扫描发现 forums.lyrion.org 返回 403；按不确定先留空。","建议提交本轮改动。",""
Medusa,Apps/Medusa/docker-compose.yml,medium,broken_link,website,"",blanked,"全量链接扫描发现 pymedusa.com 返回 403/404；按不确定先留空，保留 repo/support/docs。","建议提交本轮改动。",""
OpenSpeedTest,Apps/OpenSpeedTest/docker-compose.yml,medium,broken_link,website/docs,website blanked docs to GitHub readme,fixed,"全量链接扫描发现 openspeedtest.com 访问失败；website 置空，docs 改为 GitHub README。","建议提交本轮改动。","https://github.com/openspeedtest/Speed-Test#readme"
Twingate,Apps/Twingate/docker-compose.yml,medium,broken_link,repo,"",blanked,"全量链接扫描发现 Twingate-Labs/docker-connector 返回 404；按不确定先留空。","建议提交本轮改动。",""
ALL,Apps/*/docker-compose.yml,info,final_full_scan,summary,all compose completed,completed,"最终全量扫描 163 个 docker-compose.yml：bad_main_service_refs=0、version_image_mismatch=0、bad_updateAt_format=0、release_notes_placeholder_like=0、bad_url_format=0；此前链接复核 checked_links=612、bad_links=0。","当前所有 compose 已按本轮规则扫完；不确定项已置空；version 已以主镜像 tag 为准。",""
Blinko,Apps/Blinko/docker-compose.yml,medium,version_image_mismatch,version,1.8.7,fixed,"合并 upstream/main 后按镜像 tag 为准；主镜像为 blinkospace/blinko:1.8.7，已将 version/updateAt/releaseNotes 对齐到 1.8.7。","建议提交本轮改动。","https://github.com/blinkospace/blinko/releases/tag/1.8.7"
HermesAgent,Apps/HermesAgent/docker-compose.yml,medium,floating_tag_release_unverifiable,version,latest,fixed,"全量扫描发现主镜像使用 latest，但 x-casaos.version 为 v0.12.0；已改为 latest，并将 releaseNotes 改为浮动 tag 不可映射说明。","建议提交本轮改动。",""
Linkwarden,Apps/Linkwarden/docker-compose.yml,medium,version_image_mismatch,version,v2.14.1,fixed,"合并 upstream/main 后按镜像 tag 为准；主镜像为 ghcr.io/linkwarden/linkwarden:v2.14.1，已将 version/updateAt/releaseNotes 对齐到 v2.14.1。","建议提交本轮改动。","https://github.com/linkwarden/linkwarden/releases/tag/v2.14.1"
Logseq,Apps/Logseq/docker-compose.yml,medium,version_image_mismatch,version,v0.10.10,fixed,"全量扫描发现 x-casaos.version 缺少镜像 tag 的 v 前缀；已改为 v0.10.10。","建议提交本轮改动。",""
Trilium,Apps/Trilium/docker-compose.yml,medium,version_image_mismatch,version,v0.99.3,fixed,"全量扫描发现 x-casaos.version 缺少镜像 tag 的 v 前缀；已改为 v0.99.3。","建议提交本轮改动。",""
Ddns-go,Apps/Ddns-go/docker-compose.yml,medium,version_image_mismatch,version,v6.17.0,fixed,"合并 upstream/main 后按镜像 tag 为准；主镜像为 jeessy/ddns-go:v6.17.0，已将 version/updateAt/releaseNotes 对齐到 v6.17.0。","建议提交本轮改动。","https://github.com/jeessy2/ddns-go/releases/tag/v6.17.0"
Downtify,Apps/Downtify/docker-compose.yml,medium,version_image_mismatch,version,2.6.0,fixed,"合并 upstream/main 后按镜像 tag 为准；主镜像为 ghcr.io/henriquesebastiao/downtify:2.6.0，已将 version/updateAt/releaseNotes 对齐到 2.6.0。","建议提交本轮改动。","https://github.com/henriquesebastiao/downtify/releases/tag/2.6.0"
